product;price
BUMP;4.99
WEEKLYBUMPG;14.99
WEEKLYBUMPREC;24.99
DAILYBUMPG;17.99
DAILYBUMPREC;29.99
GALLERYG;12.99
GALLERYREC;19.99
BASIC_4_RE;340,original_price:100
BASIC_12_RE;840,original_price:115
BASIC_4_CARS;340,original_price:100
BASIC_12_CARS;840,original_price:115
PLUS_4_RE;612,original_price:156
PLUS_12_RE;1512,original_price:183
PLUS_4_CARS;612,original_price:156
PLUS_12_CARS;1512,original_price:183
MASTER_4_RE;1088,original_price:254
MASTER_12_RE;2688,original_price:302
MASTER_4_CARS;1088,original_price:254
MASTER_12_CARS;2688,original_price:302
PACKAGE_BRONZE;24.99
PACKAGE_SILVER;42.99,original_price:56.99
PACKAGE_GOLD;64.99
ESPECIAL30_3_CARS;420
ESPECIAL30_6_CARS;714
ESPECIAL30_12_CARS;1176
ESPECIAL60_3_CARS;750
ESPECIAL60_6_CARS;1275
ESPECIAL60_12_CARS;2100
ESPECIAL120_3_CARS;1350
ESPECIAL120_6_CARS;2295
ESPECIAL120_12_CARS;3780
PATRIMOVEL1900_12_RE;22800
PATRIMOVEL100_12_RE;1200
BASIC30_3_CARS;420
BASIC30_6_CARS;714
BASIC30_12_CARS;1176
PLUS60_3_CARS;688.5
PLUS60_6_CARS;1170.45
PLUS60_12_CARS;1927.80
MASTER120_3_CARS;1152
MASTER120_6_CARS;1958.4
MASTER120_12_CARS;3225.6
BASIC50_3_RE;420
BASIC50_6_RE;714
BASIC50_12_RE;1176
PLUS100_3_RE;688.5
PLUS100_6_RE;1170.45
PLUS100_12_RE;1927.80
MASTER200_3_RE;1152
MASTER200_6_RE;1958.4
MASTER200_12_RE;3225.6
PACKAGE_BRONZE_GOODS;14.99
PACKAGE_SILVER_GOODS;21.99,original_price:26.99
PACKAGE_GOLD_GOODS;34.99
ESPECIAL500_12_RE;8064,original_price:806Ω
ESPECIAL160_12_CARS;9999,original_price:9999
ESPECIAL250_12_CARS;9999,original_price:9999
ESPECIAL780_3_CARS;4740,original_price:4740
